feduid,nom_cef,ra_code,ra_nom,strate_region
24001,Abitibi–Baie-James–Nunavik–Eeyou,10,Nord-du-Québec,regions
24002,Abitibi–Témiscamingue,08,Abitibi-Témiscamingue,regions
24003,Ahuntsic-Cartierville,06,Montréal,montreal
24004,Alfred-Pellan,13,Laval,montreal
24005,Argenteuil–La Petite-Nation,07,Outaouais,regions
24006,Avignon–La Mitis–Matane–Matapédia,01,Bas-Saint-Laurent,regions
24007,Beauce,12,Chaudière-Appalaches,regions
24008,Beauport–Limoilou,03,Capitale-Nationale,quebec
24009,Bécancour–Nicolet–Saurel,17,Centre-du-Québec,regions
24010,Bellechasse–Les Etchemins–Lévis,12,Chaudière-Appalaches,regions
24011,Beloeil–Chambly,16,Montérégie,couronne
24012,Berthier–Maskinongé,04,Mauricie,regions
24013,Thérèse-De Blainville,15,Laurentides,couronne
24014,Pierre-Boucher–Les Patriotes–Verchères,16,Montérégie,couronne
24015,Bourassa,06,Montréal,montreal
24016,Brome–Missisquoi,05,Estrie,regions
24017,Brossard–Saint-Lambert,16,Montérégie,couronne
24018,Rimouski-Neigette–Témiscouata–Les Basques,01,Bas-Saint-Laurent,regions
24019,Charlesbourg–Haute-Saint-Charles,03,Capitale-Nationale,quebec
24020,Beauport–Côte-de-Beaupré–Île d'Orléans–Charlevoix,03,Capitale-Nationale,quebec
24021,Châteauguay–Lacolle,16,Montérégie,couronne
24022,Chicoutimi–Le Fjord,02,Saguenay–Lac-Saint-Jean,regions
24023,Compton–Stanstead,05,Estrie,regions
24024,Dorval–Lachine–LaSalle,06,Montréal,montreal
24025,Drummond,17,Centre-du-Québec,regions
24026,Gaspésie–Les Îles-de-la-Madeleine,11,Gaspésie–Îles-de-la-Madeleine,regions
24027,Gatineau,07,Outaouais,regions
24028,Hochelaga,06,Montréal,montreal
24029,Honoré-Mercier,06,Montréal,montreal
24030,Hull–Aylmer,07,Outaouais,regions
24031,Joliette,14,Lanaudière,couronne
24032,Jonquière,02,Saguenay–Lac-Saint-Jean,regions
24033,La Pointe-de-l'Île,06,Montréal,montreal
24034,La Prairie,16,Montérégie,couronne
24035,Lac-Saint-Jean,02,Saguenay–Lac-Saint-Jean,regions
24036,Lac-Saint-Louis,06,Montréal,montreal
24037,LaSalle–Émard–Verdun,06,Montréal,montreal
24038,Laurentides–Labelle,15,Laurentides,couronne
24039,Laurier–Sainte-Marie,06,Montréal,montreal
24040,Laval–Les Îles,13,Laval,montreal
24041,Longueuil–Charles-Lemoyne,16,Montérégie,couronne
24042,Lévis–Lotbinière,12,Chaudière-Appalaches,regions
24043,Longueuil–Saint-Hubert,16,Montérégie,couronne
24044,Louis-Hébert,03,Capitale-Nationale,quebec
24045,Louis-Saint-Laurent,03,Capitale-Nationale,quebec
24046,Manicouagan,09,Côte-Nord,regions
24047,Mégantic–L'Érable,12,Chaudière-Appalaches,regions
24048,Mirabel,15,Laurentides,couronne
24049,Montarville,16,Montérégie,couronne
24050,Montcalm,14,Lanaudière,couronne
24051,Montmagny–L'Islet–Kamouraska–Rivière-du-Loup,01,Bas-Saint-Laurent,regions
24052,Mont-Royal,06,Montréal,montreal
24053,Notre-Dame-de-Grâce–Westmount,06,Montréal,montreal
24054,Outremont,06,Montréal,montreal
24055,Papineau,06,Montréal,montreal
24056,Pierrefonds–Dollard,06,Montréal,montreal
24057,Pontiac,07,Outaouais,regions
24058,Portneuf–Jacques-Cartier,03,Capitale-Nationale,quebec
24059,Québec,03,Capitale-Nationale,quebec
24060,Repentigny,14,Lanaudière,couronne
24061,Richmond–Arthabaska,17,Centre-du-Québec,regions
24062,Rivière-des-Mille-Îles,15,Laurentides,couronne
24063,Rivière-du-Nord,15,Laurentides,couronne
24064,Rosemont–La Petite-Patrie,06,Montréal,montreal
24065,Marc-Aurèle-Fortin,13,Laval,montreal
24066,Saint-Hyacinthe–Bagot,16,Montérégie,couronne
24067,Saint-Jean,16,Montérégie,couronne
24068,Saint-Laurent,06,Montréal,montreal
24069,Saint-Léonard–Saint-Michel,06,Montréal,montreal
24070,Saint-Maurice–Champlain,04,Mauricie,regions
24071,Salaberry–Suroît,16,Montérégie,couronne
24072,Shefford,05,Estrie,regions
24073,Sherbrooke,05,Estrie,regions
24074,Vaudreuil–Soulanges,16,Montérégie,couronne
24075,Terrebonne,14,Lanaudière,couronne
24076,Trois-Rivières,04,Mauricie,regions
24077,Ville-Marie–Le Sud-Ouest–Île-des-Sœurs,06,Montréal,montreal
24078,Vimy,13,Laval,montreal
